 dico diaz size mu mort Rnp Rfep Rsip wsink                                                                KsP KsN   KsFe   KsSi    palat1 palat2  Kpar  Kinh  Topt  nsrc                                                                np
  1.  0.  1.  0.60 10. 16.  1. 16.  0.0  0.035  0.560  0.035  1.000   0.2   0.9   0.1200   1.0000   0.0    3    1
  0.  0.  0.  0.60 10. 16.  1.  0.  0.0  0.015  0.240  0.015  1.000   1.0   0.2   0.1200   3.0000   0.0    3    2
